id_identificador;descripcion;direccion;fechaAlta;id_barrio;id_geometria;id_municipio;id_identificador_tipo;id_usuario;id_zona;id_zona_administrativa;fecha_actualizacion;codigo_unico;habilitado;metros_cuadrados;latitud;longitud
2584486;BLANCO ALEJANDRO BLANCO HECTOR;PANAMA 4081;21/8/2025 20:18;25019;14648477;377;650;9505;25308;;;;True;;-34,51338854;-58,52661058
2584491;PANZA LUCAS ESTEBAN, PANZA ANA;MANUEL DIAZ VELEZ 4179;21/8/2025 20:18;25019;14648482;377;650;9505;25308;;;;True;;-34,51320453;-58,52509004
2584495;SANTAROSA, LUCIANO HECTOR;BARTOLOME MITRE 4285;21/8/2025 20:18;25019;14648486;377;650;9505;25308;;;;True;;-34,51322201;-58,53098126
2584514;BATISTA MARIANO RAUL;MANUEL DIAZ VELEZ 4205;21/8/2025 20:18;25019;14648505;377;650;9505;25308;;;;True;;-34,51340519;-58,52553412
2584519;DELMIRO MENDEZ E HIJOS S.A.;MARIANO MORENO 4391;21/8/2025 20:18;25019;14648510;377;650;9505;25308;;;;True;;-34,51302597;-58,52811039
2584524;LUPARIA JUAN BAUTISTA;CARREGAL 4258;21/8/2025 20:18;25019;14648515;377;650;9505;25308;;;;True;;-34,51303139;-58,52978415
2584530;ITT BORNEMANN - GOULDS PUMPS S.R.L.;MARIANO MORENO 4380;21/8/2025 20:18;25019;14648521;377;650;9505;25308;;;;True;;-34,51303698;-58,52795736
2584533;ASTE HORACIO DANIEL;PANAMA 4051;21/8/2025 20:18;25019;14648524;377;650;9505;25308;;;;True;;-34,51351679;-58,52652486
2584549;PESCE, JUAN BAUTISTA;HIPOLITO BOUCHARD 4530;21/8/2025 20:18;25019;14648540;377;650;9505;25308;;;;True;;-34,51344205;-58,52707021
2584552;RAMDEC S.R.L.;HIPOLITO BOUCHARD 4341;21/8/2025 20:18;25019;14648543;377;650;9505;25308;;;;True;;-34,51344891;-58,52726886
2584556;ROSENARG S.R.L.;MARIANO MORENO 4420;21/8/2025 20:18;25019;14648547;377;650;9505;25308;;;;True;;-34,51328567;-58,52848638
2584561;BOMBAS GOULDS SA;MARIANO MORENO 4380;21/8/2025 20:18;25019;14648552;377;650;9505;25308;;;;True;;-34,51303698;-58,52795736
2584571;MARCELO MANTELERIA SA;PANAMA 4056;21/8/2025 20:18;25019;14648562;377;650;9505;25308;;;;True;;-34,5135345;-58,52661261
2584586;BULLET PROOF S.A.;HIPOLITO BOUCHARD 4381;21/8/2025 20:18;25019;14648577;377;650;9505;25308;;;;True;;-34,51362829;-58,5276718
2584589;BULLET-PROOF S.A.;HIPOLITO BOUCHARD 4381;21/8/2025 20:18;25019;14648580;377;650;9505;25308;;;;True;;-34,51362829;-58,5276718
2584601;GRANEROS NORMABEATRIZ;HIPOLITO BOUCHARD 4584;21/8/2025 20:18;25019;14648592;377;650;9505;25308;;;;True;;-34,51364053;-58,52751509
2584617;GARRO DIEGO HERNAN;HIPOLITO BOUCHARD 4590;21/8/2025 20:18;25019;14648608;377;650;9505;25308;;;;True;;-34,51366251;-58,52756457
2584620;GRUPO R Y A SRL;MANUEL DIAZ VELEZ 4249;21/8/2025 20:18;25019;14648611;377;650;9505;25308;;;;True;;-34,51356775;-58,52589426
2584621;NG LOGISTICA S.R.L.;AMARO AVALOS 3937;21/8/2025 20:18;25019;14648612;377;650;9505;25308;;;;True;;-34,51367611;-58,52513778
2584658;ASG TRAINING CENTER S.R.L;LUIS PIEDRABUENA 4371;21/8/2025 20:18;25019;14648649;377;650;9505;25308;;;;True;;-34,5137565;-58,52478651
2584679;CRISPEX S.A.;PANAMA 4011;21/8/2025 20:18;25019;14648670;377;650;9505;25308;;;;True;;-34,51368778;-58,52641057
2584695;MASTER HEAT S.R.L;HIPOLITO BOUCHARD 4450;21/8/2025 20:18;25019;14648686;377;650;9505;25308;;;;True;;-34,51398446;-58,5282866
2584702;SECURUS S A;LUIS PIEDRABUENA 4375;21/8/2025 20:18;25019;14648693;377;650;9505;25308;;;;True;;-34,51376824;-58,52481214
2584703;MORKEN S.A;HIPOLITO BOUCHARD 4420;21/8/2025 20:18;25019;14648694;377;650;9505;25308;;;;True;;-34,51388437;-58,52806221
2584708;INDUSTRIAS ARTEMEC SRL;MANUEL DIAZ VELEZ 4287;21/8/2025 20:18;25019;14648699;377;650;9505;25308;;;;True;;-34,51370814;-58,5262053
2584711;SKYWALKER ARGENTINA S R L;MANUEL DIAZ VELEZ 4530;21/8/2025 20:18;25019;14648702;377;650;9505;25308;;;;True;;-34,51400443;-58,52667278
2584714;LICORES LA TRIESTINA S.A.;MANUEL DIAZ VELEZ 4517;21/8/2025 20:18;25019;14648705;377;650;9505;25308;;;;True;;-34,51389619;-58,52661645
2584719;COOPERATIVA DE TRABAJO ARCANGE;MANUEL DIAZ VELEZ 4492;21/8/2025 20:18;25019;14648710;377;650;9505;25308;;;;True;;-34,51379305;-58,52621134
2584731;DE STEFANO CARLA PAOLA;LUIS PIEDRABUENA 4445;21/8/2025 20:18;25019;14648722;377;650;9505;25308;;;;True;;-34,51408631;-58,52550608
2584733;AGUAS S.R.L;MARIANO MORENO 4760;21/8/2025 20:18;25019;14648724;377;650;9505;25308;;;;True;;-34,51408634;-58,53018535
2584741;ANCLAMAR INDUSTRIA METALURGICA S.A.;LUIS PIEDRABUENA 4447;21/8/2025 20:18;25019;14648732;377;650;9505;25308;;;;True;;-34,51409377;-58,52552236
2584747;CONARSA SA;CARREGAL 4147;21/8/2025 20:18;25019;14648738;377;650;9505;25308;;;;True;;-34,51394188;-58,52908135
2584759;RECUMA SOC ANON COM IND AGROP;MANUEL DIAZ VELEZ 4535;21/8/2025 20:18;25019;14648750;377;650;9505;25308;;;;True;;-34,51396375;-58,52676394
2584791;GRAMAJO, NELIDA LUCIA;CARREGAL 4082;21/8/2025 20:18;25019;14648782;377;650;9505;25308;;;;True;;-34,51429397;-58,52866829
2584792;GEMATEC S.R.L.;PANAMA 3935;21/8/2025 20:18;25019;14648783;377;650;9505;25308;;;;True;;-34,5141316;-58,52611391
2584796;DIA ARGENTINA S A;BARTOLOME MITRE 4201;21/8/2025 20:18;25019;14648787;377;650;9505;25308;;;;True;;-34,51407051;-58,53038426
2584799;LOZANO, ANTONIO;HIPOLITO BOUCHARD 4710;21/8/2025 20:18;25019;14648790;377;650;9505;25308;;;;True;;-34,51423481;-58,52884754
2584800;BOUTUREIRA FELIPE ALBERTO;MANUEL DIAZ VELEZ 4581;21/8/2025 20:18;25019;14648791;377;650;9505;25308;;;;True;;-34,51413599;-58,52714115
2584802;CARDIOMEDIC S.A.;MANUEL DIAZ VELEZ 4592;21/8/2025 20:18;25019;14648793;377;650;9505;25308;;;;True;;-34,51423656;-58,5271814
2584805;GOURMET FACTORY SRL;MANUEL DIAZ VELEZ 4581;21/8/2025 20:18;25019;14648796;377;650;9505;25308;;;;True;;-34,51413599;-58,52714115
2584816;LEON PABLO HORACIO Y YETANO CE;BARTOLOME MITRE 4177;21/8/2025 20:18;25019;14648807;377;650;9505;25308;;;;True;;-34,51425817;-58,5302293
2584822;LIPORACE LUIS ALEJANDRO;BARTOLOME MITRE 4197;21/8/2025 20:18;25019;14648813;377;650;9505;25308;;;;True;;-34,5141659;-58,53030904
2584832;GOURMET FACTORY S.R.L.;MANUEL DIAZ VELEZ 4580;21/8/2025 20:18;25019;14648823;377;650;9505;25308;;;;True;;-34,51419178;-58,52708286
