id_identificador_tipo;descripcion;id_icono;requiere_ciudadano
631;Certificado de no titularidad;;False
632;Reporte parcelario;;False
634;Solicitudes de Permisos de Bien Nacional de Uso Público;;False
635;DEPARTAMENTO DEPORTES Y RECREACIÓN;;False
636;Escuelas Deportivas;;False
638;Habilitación comercial perito;;False
642;Centro de acopio;;False
645;Libre deuda de tránsito;;False
646;Devolución de licencia;;False
649;Solicitud de Cambio de Titularidad de Inmueble;;False
650;Comercios;;False
651;Libre deuda instructor;;False
652;Libre deuda matriculas;;False
654;Libre deuda renovaciones, bajas y cierres;;False
655;Libre deuda transportes y vehiculos;;False
656;Libre deuda vehiculos para academia o rent a car;;False
657;Libre deuda de obras y conexiones;;False
658;Libre deuda suministros;;False
659;Libre deuda por contrato de trabajo en via publica;;False
660;Plazas de garaje;;False
661;Mercadillos ambulantes;;False
666;Certificado para actividad comercial;;False
669;Arroyo;;False
671;Bandera;;False
674;Garitas;;False
675;Estación de compostaje;;False
676;Inscripción de Asociaciones;;False
677;Inscripción de Fundaciones;;False
681;Solicitud de antecedentes catastrales;;False
682;Animal de compañía;;False
683;Miembro Club Universitario;;False
684;Cocina;;False
687;Anexo de rubros;;False
689;Pisos;;False
690;Habitaciones;;False
691;Oficina de Coordinacion;;False
692;Comedores CIS;;False
693;Sum;;False
694;Patios;;False
695;Depositos;;False
696;Baños comunitarios;;False
697;HALL;;False
698;Baños apto discapacidad;;False
700;Baños oficina de Coordinacion;;False
703;Inscripción de Proveedores;;False
705;Cambio de Domicilio Postal;;False
715;Inscripción de profesionales;;False
716;Renovación puesto de venta ambulante;;False
717;Baños Habitaciones;;False
718;Baños Ludoteca;;False
719;Ludoteca;;False
721;Sala de profesionales;;False
722;Baños Sala de profesionales;;False
723;Oficina De Vigilancia;;False
725;Oficina De Mantenimiento;;False
726;Baños sum;;False
727;Pasillos;;False
728;Sala de máquinas;;False
729;Cuarto de limpieza;;False
730;Renovacion proveedores;;False
731;Presentación de planos para Permiso de Obra;;False
734;Comercio Club Universitario;;False
735;Número domiciliario;;False
737;Poste Inactivo;;False
739;CIS Piso;;False
740;CIS Habitación;;False
741;CIS Plaza;;False
744;Asociaciones Civiles;;False
746;Requisicion de materiales y servicios;;False
747;Castraciones - Autorización Quirúrgica;;False
748;LUMINARIA ALTA EN COLUMNA;;False
749;LUMINARIA EN PARED;;False
750;LUMINARIA BAJA EN COLUMNA;;False
751;Reserva de Denominación - AF;;False
752;MuniCentros;;False
753;PROFESIONAL;;False
754;Poda;;False
755;Renovaciones comerciales;;False
757;Oficina de Defensa al Consumidor;;False
758;Casinos;;False
759;Inscripción de proveedores municipales;;False
773;Documentación Anual Obligatoria;;False
777;Tablero;;False
779;documentacion-anual-obligatoria-asociaciones;;False
780;Carteles de tránsito;;False
782;Justificaciones;;False
783;Apertura de Partidas Municipales;;False
784;Activo - Identificador;;False
785;Semáforos;;False
790;Solicitud de registro como agente de venta de estacionamiento tarifado - Canelones;;False
791;Habilitación y renovación de registro único obligatorio transportistas de residuos;;False
792;Licencia de conducir;;False
793;Constitución de Fundaciones;;False
794;Inscripción Asambleas;;False
796;Extintores;;False
804;Relevamiento de comercios;;False
806;Relevamiento de comercios;;False
808;Renovación de Carnet de Marca y Señal;;False
809;Registro Permanente de Cooperativas;;False
810;Manejo Integrado de Plaga;;False
812;Club de Abuelos;;False
815;Deportes;;False
818;Asociación Vecinal;;False
820;Estaciones de bombeo de captación;;False
822;Tanques de agua;;False
823;Plantas potabilizadoras;;False
824;Solicitud o renovación pase libre para personas con discapacidad;;False
829;Licitadores;;False
830;Solicitud de permiso de exploración;;False
834;Vecinales Barriales;;False
835;Registro de Consorcios de Riego;;False
836;Solicitud baja comercial e industrial;;False
838;Solicitud de poda;;False
839;Solicitud de extracción;;False
840;Inscripción o actualización de Ficha IPVU;;False
841;Patentamiento;;False
842;Autorización para espectáculos públicos;;False
843;Transferecncia dentro de la provincia;;False
844;Comedores Sociales;;False
845;Reempadronamiento de Proveedores;;False
849;Reclamos y Sugerencias SU.SE.PU.;;False
850;Hogares de Personas Mayores;;False
858;AF oficios;;False
859;AF tramites generales;;False
861;Herramientas - Pañol;;False
862;Subsuelo Casa Central;;False
863;Primer Piso Casa Central;;False
